metric,value
train_accuracy,0.9407407407407408
train_balanced_accuracy,0.9407230326389228
train_macro_f1,0.9407230326389228
train_macro_precision,0.9407230326389228
train_macro_recall,0.9407230326389228
train_brier,0.14401675156563937
train_ece_10,0.14993271055794222
train_nll,0.27461831944011755
train_roc_auc,0.9850221983704933
val_accuracy,0.725925925925926
val_balanced_accuracy,0.7248778881510345
val_macro_f1,0.72409412284578
val_macro_precision,0.7298737727910238
val_macro_recall,0.7248778881510345
val_brier,0.37329932658403747
val_ece_10,0.04369595430211039
val_nll,0.5531359169606478
val_roc_auc,0.7942483947094012
test_accuracy,0.7444444444444445
test_balanced_accuracy,0.7421875
test_macro_f1,0.7426573426573426
test_macro_precision,0.7435465768799102
test_macro_recall,0.7421875
test_brier,0.3533198581652451
test_ece_10,0.04623568911089047
test_nll,0.5401995097188886
test_roc_auc,0.8118179563492064
test_quantum_kernel_alignment,0.07969880415109316
test_quantum_kernel_effective_rank,138.88381241852565
test_quantum_kernel_trace,256.0000305175781
test_quantum_kernel_mean_offdiag,0.06210929900407791
test_quantum_kernel_sample_n,256.0
test_quantum_kernel_sample_class0_n,137.0
test_quantum_kernel_sample_class1_n,119.0
test_quantum_kernel_sampling_strategy,2.0
ood_accuracy,0.6833333333333333
ood_balanced_accuracy,0.6843683348273624
ood_macro_f1,0.6833333333333333
ood_macro_precision,0.6843683348273624
ood_macro_recall,0.6843683348273624
ood_brier,0.409712233660029
ood_ece_10,0.06380934474481342
ood_nll,0.5939106113482341
ood_roc_auc,0.755185311118667
ood_quantum_kernel_alignment,0.06963366912395737
ood_quantum_kernel_effective_rank,148.41133242103538
ood_quantum_kernel_trace,256.00006103515625
ood_quantum_kernel_mean_offdiag,0.055838461965322495
ood_quantum_kernel_sample_n,256.0
ood_quantum_kernel_sample_class0_n,133.0
ood_quantum_kernel_sample_class1_n,123.0
ood_quantum_kernel_sampling_strategy,2.0
ood_composition_accuracy,0.5777777777777777
ood_composition_balanced_accuracy,0.5818901533894112
ood_composition_macro_f1,0.5758928571428572
ood_composition_macro_precision,0.5843957164711882
ood_composition_macro_recall,0.5818901533894112
ood_composition_brier,0.5215865049310419
ood_composition_ece_10,0.1520202987053185
ood_composition_nll,0.7353719312776364
ood_composition_roc_auc,0.6421326076199901
ood_composition_quantum_kernel_alignment,0.058337848493329514
ood_composition_quantum_kernel_effective_rank,109.52363087510713
ood_composition_quantum_kernel_trace,180.00003051757812
ood_composition_quantum_kernel_mean_offdiag,0.05907084792852402
ood_composition_quantum_kernel_sample_n,180.0
ood_composition_quantum_kernel_sample_class0_n,94.0
ood_composition_quantum_kernel_sample_class1_n,86.0
ood_composition_quantum_kernel_sampling_strategy,2.0
ood_depth_accuracy,0.7888888888888889
ood_depth_balanced_accuracy,0.7875417130144605
ood_depth_macro_f1,0.7879464285714286
ood_depth_macro_precision,0.7901234567901234
ood_depth_macro_recall,0.7875417130144605
ood_depth_brier,0.29783796238901605
ood_depth_ece_10,0.04329413034255328
ood_depth_nll,0.4524492914188316
ood_depth_roc_auc,0.8707205537016438
ood_depth_quantum_kernel_alignment,0.1301011945543956
ood_depth_quantum_kernel_effective_rank,114.60821748290269
ood_depth_quantum_kernel_trace,180.00003051757812
ood_depth_quantum_kernel_mean_offdiag,0.05987929925322533
ood_depth_quantum_kernel_sample_n,180.0
ood_depth_quantum_kernel_sample_class0_n,93.0
ood_depth_quantum_kernel_sample_class1_n,87.0
ood_depth_quantum_kernel_sampling_strategy,2.0
model_n_qubits,6
model_n_layers,2
model_state_dim,64
model_data_reuploading,True
model_parameter_count,686
model_single_qubit_rotation_count_proxy,24
model_two_qubit_gate_count_proxy,12
model_depth_proxy,6
model_bare_statevector_memory_gb_per_sample_complex64,4.76837158203125e-07
model_primitive_role_encoding_active,True
elapsed_seconds,6.216224040996167
