source,run_dir,model_name,seed,status,elapsed_seconds
classical,20260523_195139_qnlpbench_r_stage6d_classical_latent_primitive_sequence_majority_seed11,majority,11,completed,3.9325576669943985
classical,20260523_195143_qnlpbench_r_stage6d_classical_latent_primitive_sequence_logistic_seed11,logistic,11,completed,0.5335408750106581
classical,20260523_195144_qnlpbench_r_stage6d_classical_latent_primitive_sequence_sequence_mlp_256x3_seed11,sequence_mlp_256x3,11,completed,2.3771468339982675
classical,20260523_195146_qnlpbench_r_stage6d_classical_latent_primitive_sequence_random_forest_500_seed11,random_forest_500,11,completed,1.652744792008889
classical,20260523_195148_qnlpbench_r_stage6d_classical_latent_primitive_sequence_extra_trees_500_seed11,extra_trees_500,11,completed,1.328894833000959
classical,20260523_195149_qnlpbench_r_stage6d_classical_latent_primitive_sequence_gradient_boosting_300_seed11,gradient_boosting_300,11,completed,0.5878936250082916
classical,20260523_195150_qnlpbench_r_stage6d_classical_latent_primitive_sequence_corrected_rbf_svm_seed11,corrected_rbf_svm,11,completed,0.6722757079987787
classical,20260523_195151_qnlpbench_r_stage6d_classical_latent_primitive_sequence_logistic_seed23,logistic,23,completed,0.498566624999512
classical,20260523_195151_qnlpbench_r_stage6d_classical_latent_primitive_sequence_majority_seed23,majority,23,completed,0.2505597499985015
classical,20260523_195151_qnlpbench_r_stage6d_classical_latent_primitive_sequence_poly_svm_d3_seed11,poly_svm_d3,11,completed,0.42278637499839533
classical,20260523_195152_qnlpbench_r_stage6d_classical_latent_primitive_sequence_sequence_mlp_256x3_seed23,sequence_mlp_256x3,23,completed,2.0508764999976847
classical,20260523_195154_qnlpbench_r_stage6d_classical_latent_primitive_sequence_random_forest_500_seed23,random_forest_500,23,completed,1.2830069170013303
classical,20260523_195155_qnlpbench_r_stage6d_classical_latent_primitive_sequence_extra_trees_500_seed23,extra_trees_500,23,completed,1.2597060420084745
classical,20260523_195156_qnlpbench_r_stage6d_classical_latent_primitive_sequence_gradient_boosting_300_seed23,gradient_boosting_300,23,completed,0.5867028750071768
classical,20260523_195157_qnlpbench_r_stage6d_classical_latent_primitive_sequence_corrected_rbf_svm_seed23,corrected_rbf_svm,23,completed,0.6577621250035008
classical,20260523_195158_qnlpbench_r_stage6d_classical_latent_primitive_sequence_logistic_seed37,logistic,37,completed,0.5114709589979611
classical,20260523_195158_qnlpbench_r_stage6d_classical_latent_primitive_sequence_majority_seed37,majority,37,completed,0.2493957910046447
classical,20260523_195158_qnlpbench_r_stage6d_classical_latent_primitive_sequence_poly_svm_d3_seed23,poly_svm_d3,23,completed,0.4156585410091793
classical,20260523_195159_qnlpbench_r_stage6d_classical_latent_primitive_sequence_sequence_mlp_256x3_seed37,sequence_mlp_256x3,37,completed,2.1714941669924883
classical,20260523_195201_qnlpbench_r_stage6d_classical_latent_primitive_sequence_random_forest_500_seed37,random_forest_500,37,completed,1.2763673750014277
classical,20260523_195202_qnlpbench_r_stage6d_classical_latent_primitive_sequence_extra_trees_500_seed37,extra_trees_500,37,completed,1.2442893340048613
classical,20260523_195203_qnlpbench_r_stage6d_classical_latent_primitive_sequence_gradient_boosting_300_seed37,gradient_boosting_300,37,completed,0.6098796669975854
classical,20260523_195204_qnlpbench_r_stage6d_classical_latent_primitive_sequence_corrected_rbf_svm_seed37,corrected_rbf_svm,37,completed,0.7051567919988884
classical,20260523_195205_qnlpbench_r_stage6d_classical_latent_primitive_sequence_logistic_seed41,logistic,41,completed,0.5937284170067869
classical,20260523_195205_qnlpbench_r_stage6d_classical_latent_primitive_sequence_majority_seed41,majority,41,completed,0.25275758300267626
classical,20260523_195205_qnlpbench_r_stage6d_classical_latent_primitive_sequence_poly_svm_d3_seed37,poly_svm_d3,37,completed,0.42444483398867305
classical,20260523_195206_qnlpbench_r_stage6d_classical_latent_primitive_sequence_sequence_mlp_256x3_seed41,sequence_mlp_256x3,41,completed,1.5851355000049807
classical,20260523_195208_qnlpbench_r_stage6d_classical_latent_primitive_sequence_random_forest_500_seed41,random_forest_500,41,completed,1.3626437920029275
classical,20260523_195209_qnlpbench_r_stage6d_classical_latent_primitive_sequence_extra_trees_500_seed41,extra_trees_500,41,completed,1.2425321670016274
classical,20260523_195210_qnlpbench_r_stage6d_classical_latent_primitive_sequence_gradient_boosting_300_seed41,gradient_boosting_300,41,completed,0.5909134579997044
classical,20260523_195211_qnlpbench_r_stage6d_classical_latent_primitive_sequence_corrected_rbf_svm_seed41,corrected_rbf_svm,41,completed,0.6884008339984575
classical,20260523_195211_qnlpbench_r_stage6d_classical_latent_primitive_sequence_poly_svm_d3_seed41,poly_svm_d3,41,completed,0.4469728749973001
classical,20260523_195212_qnlpbench_r_stage6d_classical_latent_primitive_sequence_logistic_seed53,logistic,53,completed,0.99281616701046
classical,20260523_195212_qnlpbench_r_stage6d_classical_latent_primitive_sequence_majority_seed53,majority,53,completed,0.2517392919980921
classical,20260523_195213_qnlpbench_r_stage6d_classical_latent_primitive_sequence_sequence_mlp_256x3_seed53,sequence_mlp_256x3,53,completed,1.8320764590025647
classical,20260523_195215_qnlpbench_r_stage6d_classical_latent_primitive_sequence_random_forest_500_seed53,random_forest_500,53,completed,1.3530562090018066
classical,20260523_195216_qnlpbench_r_stage6d_classical_latent_primitive_sequence_extra_trees_500_seed53,extra_trees_500,53,completed,1.2885819579969393
classical,20260523_195218_qnlpbench_r_stage6d_classical_latent_primitive_sequence_corrected_rbf_svm_seed53,corrected_rbf_svm,53,completed,0.6501144999929238
classical,20260523_195218_qnlpbench_r_stage6d_classical_latent_primitive_sequence_gradient_boosting_300_seed53,gradient_boosting_300,53,completed,0.5916859999997541
classical,20260523_195219_qnlpbench_r_stage6d_classical_latent_primitive_sequence_majority_seed67,majority,67,completed,0.29863674999796785
classical,20260523_195219_qnlpbench_r_stage6d_classical_latent_primitive_sequence_poly_svm_d3_seed53,poly_svm_d3,53,completed,0.436381417006487
classical,20260523_195220_qnlpbench_r_stage6d_classical_latent_primitive_sequence_logistic_seed67,logistic,67,completed,1.0057697080046637
classical,20260523_195221_qnlpbench_r_stage6d_classical_latent_primitive_sequence_sequence_mlp_256x3_seed67,sequence_mlp_256x3,67,completed,2.141804458005936
classical,20260523_195223_qnlpbench_r_stage6d_classical_latent_primitive_sequence_random_forest_500_seed67,random_forest_500,67,completed,1.251124708011048
