source,run_dir,model_name,model_type,seed,topology,parameter_count,elapsed_seconds,train_balanced_accuracy,val_balanced_accuracy,test_balanced_accuracy,ood_composition_balanced_accuracy,ood_depth_balanced_accuracy
classical,20260523_195139_qnlpbench_r_stage6d_classical_latent_primitive_sequence_majority_seed11,majority,majority,11,classical,0,3.9325576669943985,0.5,0.5,0.5,0.5,0.5
classical,20260523_195143_qnlpbench_r_stage6d_classical_latent_primitive_sequence_logistic_seed11,logistic,logistic_regression,11,classical,100,0.5335408750106581,0.7008692999847491,0.6651098901098902,0.6983783783783784,0.4874675885911841,0.7459514170040487
classical,20260523_195144_qnlpbench_r_stage6d_classical_latent_primitive_sequence_sequence_mlp_256x3_seed11,sequence_mlp_256x3,sequence_mlp,11,classical,144898,2.3771468339982675,0.9987341772151899,0.8090659340659341,0.8136679536679536,0.6063094209161625,0.8238866396761133
classical,20260523_195146_qnlpbench_r_stage6d_classical_latent_primitive_sequence_random_forest_500_seed11,random_forest_500,random_forest,11,classical,0,1.652744792008889,1.0,0.8027472527472528,0.833050193050193,0.4546240276577355,0.8712044534412955
classical,20260523_195148_qnlpbench_r_stage6d_classical_latent_primitive_sequence_extra_trees_500_seed11,extra_trees_500,extra_trees,11,classical,0,1.328894833000959,1.0,0.8255494505494505,0.8525868725868726,0.4604889492529942,0.8484311740890689
classical,20260523_195149_qnlpbench_r_stage6d_classical_latent_primitive_sequence_gradient_boosting_300_seed11,gradient_boosting_300,gradient_boosting,11,classical,0,0.5878936250082916,0.9341924660667988,0.7774725274725275,0.7874903474903474,0.47086060007408326,0.7902327935222673
classical,20260523_195150_qnlpbench_r_stage6d_classical_latent_primitive_sequence_corrected_rbf_svm_seed11,corrected_rbf_svm,rbf_svm,11,classical,0,0.6722757079987787,0.9950587158761628,0.7848901098901099,0.7667953667953669,0.450364242499074,0.7806174089068827
classical,20260523_195151_qnlpbench_r_stage6d_classical_latent_primitive_sequence_logistic_seed23,logistic,logistic_regression,23,classical,100,0.498566624999512,0.6998463189735084,0.6790674603174602,0.6673359073359073,0.5613207547169812,0.7801729540042612
classical,20260523_195151_qnlpbench_r_stage6d_classical_latent_primitive_sequence_majority_seed23,majority,majority,23,classical,0,0.2505597499985015,0.5,0.5,0.5,0.5,0.5
classical,20260523_195151_qnlpbench_r_stage6d_classical_latent_primitive_sequence_poly_svm_d3_seed11,poly_svm_d3,poly_svm,11,classical,0,0.42278637499839533,0.9987341772151899,0.7771978021978021,0.8031660231660231,0.4616001975552537,0.8357793522267206
classical,20260523_195152_qnlpbench_r_stage6d_classical_latent_primitive_sequence_sequence_mlp_256x3_seed23,sequence_mlp_256x3,sequence_mlp,23,classical,144898,2.0508764999976847,1.0,0.816468253968254,0.7783783783783784,0.6194543600203977,0.8434640932447675
classical,20260523_195154_qnlpbench_r_stage6d_classical_latent_primitive_sequence_random_forest_500_seed23,random_forest_500,random_forest,23,classical,0,1.2830069170013303,1.0,0.8179563492063492,0.7986872586872586,0.539775624681285,0.8294272465221206
classical,20260523_195155_qnlpbench_r_stage6d_classical_latent_primitive_sequence_extra_trees_500_seed23,extra_trees_500,extra_trees,23,classical,0,1.2597060420084745,1.0,0.8392857142857143,0.828880308880309,0.5493370729219786,0.8365709988720391
classical,20260523_195156_qnlpbench_r_stage6d_classical_latent_primitive_sequence_gradient_boosting_300_seed23,gradient_boosting_300,gradient_boosting,23,classical,0,0.5867028750071768,0.9445772552080792,0.7410714285714286,0.7779150579150579,0.5424528301886793,0.8090612858754229
classical,20260523_195157_qnlpbench_r_stage6d_classical_latent_primitive_sequence_corrected_rbf_svm_seed23,corrected_rbf_svm,rbf_svm,23,classical,0,0.6577621250035008,0.9975728155339806,0.748015873015873,0.7758301158301159,0.5641254462009179,0.7801729540042612
classical,20260523_195158_qnlpbench_r_stage6d_classical_latent_primitive_sequence_logistic_seed37,logistic,logistic_regression,37,classical,100,0.5114709589979611,0.6746207939692976,0.6373082632360219,0.6471874903043653,0.5744222483352919,0.7016915668601063
classical,20260523_195158_qnlpbench_r_stage6d_classical_latent_primitive_sequence_majority_seed37,majority,majority,37,classical,0,0.2493957910046447,0.5,0.5,0.5,0.5,0.5
classical,20260523_195158_qnlpbench_r_stage6d_classical_latent_primitive_sequence_poly_svm_d3_seed23,poly_svm_d3,poly_svm,23,classical,0,0.4156585410091793,1.0,0.7594246031746031,0.7812355212355213,0.5114737378888322,0.7562351171826043
classical,20260523_195159_qnlpbench_r_stage6d_classical_latent_primitive_sequence_sequence_mlp_256x3_seed37,sequence_mlp_256x3,sequence_mlp,37,classical,144898,2.1714941669924883,1.0,0.8118918027379185,0.7949799882101083,0.6032119075597336,0.8059636992221262
classical,20260523_195201_qnlpbench_r_stage6d_classical_latent_primitive_sequence_random_forest_500_seed37,random_forest_500,random_forest,37,classical,0,1.2763673750014277,1.0,0.7977074055747979,0.787611305885638,0.5691343517430474,0.8502901592789234
classical,20260523_195202_qnlpbench_r_stage6d_classical_latent_primitive_sequence_extra_trees_500_seed37,extra_trees_500,extra_trees,37,classical,0,1.2442893340048613,1.0,0.8164275111331024,0.795786665011945,0.563650607128868,0.8500432152117545
classical,20260523_195203_qnlpbench_r_stage6d_classical_latent_primitive_sequence_gradient_boosting_300_seed37,gradient_boosting_300,gradient_boosting,37,classical,0,0.6098796669975854,0.9348107171827447,0.7364341085271318,0.7441438366789737,0.5264394829612221,0.7833683170761823
classical,20260523_195204_qnlpbench_r_stage6d_classical_latent_primitive_sequence_corrected_rbf_svm_seed37,corrected_rbf_svm,rbf_svm,37,classical,0,0.7051567919988884,0.9926872853910381,0.7250536038264885,0.7580745245260774,0.518409714061888,0.77824422768243
classical,20260523_195205_qnlpbench_r_stage6d_classical_latent_primitive_sequence_logistic_seed41,logistic,logistic_regression,41,classical,100,0.5937284170067869,0.6778068271507498,0.6933933769015321,0.6040560563032473,0.5039717563989409,0.6632300283985677
classical,20260523_195205_qnlpbench_r_stage6d_classical_latent_primitive_sequence_majority_seed41,majority,majority,41,classical,0,0.25275758300267626,0.5,0.5,0.5,0.5,0.5
classical,20260523_195205_qnlpbench_r_stage6d_classical_latent_primitive_sequence_poly_svm_d3_seed37,poly_svm_d3,poly_svm,37,classical,0,0.42444483398867305,0.9975299004031446,0.7860794985980537,0.787378610654339,0.5148844496670584,0.817199654278306
classical,20260523_195206_qnlpbench_r_stage6d_classical_latent_primitive_sequence_sequence_mlp_256x3_seed41,sequence_mlp_256x3,sequence_mlp,41,classical,144898,1.5851355000049807,0.9936242107340174,0.8414520292163217,0.7617607111989135,0.5522002269575085,0.8067045314236325
classical,20260523_195208_qnlpbench_r_stage6d_classical_latent_primitive_sequence_random_forest_500_seed41,random_forest_500,random_forest,41,classical,0,1.3626437920029275,1.0,0.7971882036355649,0.7587047783676997,0.5850460219392257,0.8399185084578342
classical,20260523_195209_qnlpbench_r_stage6d_classical_latent_primitive_sequence_extra_trees_500_seed41,extra_trees_500,extra_trees,41,classical,0,1.2425321670016274,1.0,0.8493052885935526,0.7809914804296827,0.5623502710881352,0.8506605753796765
classical,20260523_195210_qnlpbench_r_stage6d_classical_latent_primitive_sequence_gradient_boosting_300_seed41,gradient_boosting_300,gradient_boosting,41,classical,0,0.5909134579997044,0.9595131215469613,0.8059201493766819,0.7670082726262502,0.5769133778842517,0.8283121373009014
classical,20260523_195211_qnlpbench_r_stage6d_classical_latent_primitive_sequence_corrected_rbf_svm_seed41,corrected_rbf_svm,rbf_svm,41,classical,0,0.6884008339984575,0.9936242107340174,0.7747267834587293,0.7198110877886159,0.5364392888664733,0.7679960488949253
classical,20260523_195211_qnlpbench_r_stage6d_classical_latent_primitive_sequence_poly_svm_d3_seed41,poly_svm_d3,poly_svm,41,classical,0,0.4469728749973001,0.9947402821625888,0.8048217914218243,0.7284232621311273,0.5363762451141092,0.8119520928509693
classical,20260523_195212_qnlpbench_r_stage6d_classical_latent_primitive_sequence_logistic_seed53,logistic,logistic_regression,53,classical,100,0.99281616701046,0.7000134126713164,0.6200592885375494,0.6480348535409715,0.5475,0.7229965156794425
classical,20260523_195212_qnlpbench_r_stage6d_classical_latent_primitive_sequence_majority_seed53,majority,majority,53,classical,0,0.2517392919980921,0.5,0.5,0.5,0.5,0.5
classical,20260523_195213_qnlpbench_r_stage6d_classical_latent_primitive_sequence_sequence_mlp_256x3_seed53,sequence_mlp_256x3,sequence_mlp,53,classical,144898,1.8320764590025647,0.9962932253816514,0.7822793148880105,0.7742862439747868,0.65875,0.7850920856147336
classical,20260523_195215_qnlpbench_r_stage6d_classical_latent_primitive_sequence_random_forest_500_seed53,random_forest_500,random_forest,53,classical,0,1.3530562090018066,1.0,0.7613636363636364,0.7874490174267705,0.64125,0.8045047287207566
classical,20260523_195216_qnlpbench_r_stage6d_classical_latent_primitive_sequence_extra_trees_500_seed53,extra_trees_500,extra_trees,53,classical,0,1.2885819579969393,1.0,0.8053359683794467,0.7976455320726733,0.6087499999999999,0.8442010950721752
