split,local_index,y_true
ood_composition,0,1
ood_composition,1,1
ood_composition,2,0
ood_composition,3,1
ood_composition,4,1
ood_composition,5,0
ood_composition,6,1
ood_composition,7,1
ood_composition,8,0
ood_composition,9,0
ood_composition,10,0
ood_composition,11,0
ood_composition,12,0
ood_composition,13,1
ood_composition,14,0
ood_composition,15,0
ood_composition,16,0
ood_composition,17,0
ood_composition,18,0
ood_composition,19,1
ood_composition,20,1
ood_composition,21,0
ood_composition,22,0
ood_composition,23,1
ood_composition,24,0
ood_composition,25,0
ood_composition,26,0
ood_composition,27,0
ood_composition,28,1
ood_composition,29,1
ood_composition,30,0
ood_composition,31,0
ood_composition,32,1
ood_composition,33,1
ood_composition,34,0
ood_composition,35,1
ood_composition,36,0
ood_composition,37,0
ood_composition,38,0
ood_composition,39,1
ood_composition,40,0
ood_composition,41,1
ood_composition,42,0
ood_composition,43,1
ood_composition,44,0
ood_composition,45,0
ood_composition,46,1
ood_composition,47,1
ood_composition,48,1
ood_composition,49,0
ood_composition,50,0
ood_composition,51,1
ood_composition,52,0
ood_composition,53,1
ood_composition,54,0
ood_composition,55,0
ood_composition,56,0
ood_composition,57,0
ood_composition,58,1
ood_composition,59,1
ood_composition,60,1
ood_composition,61,0
ood_composition,62,0
ood_composition,63,1
ood_composition,64,1
ood_composition,65,0
ood_composition,66,0
ood_composition,67,0
ood_composition,68,0
ood_composition,69,0
ood_composition,70,1
ood_composition,71,1
ood_composition,72,0
ood_composition,73,0
ood_composition,74,1
ood_composition,75,0
ood_composition,76,1
ood_composition,77,0
ood_composition,78,1
ood_composition,79,0
ood_composition,80,0
ood_composition,81,0
ood_composition,82,0
ood_composition,83,1
ood_composition,84,0
ood_composition,85,1
ood_composition,86,0
ood_composition,87,1
ood_composition,88,0
ood_composition,89,1
ood_composition,90,0
ood_composition,91,1
ood_composition,92,1
ood_composition,93,1
ood_composition,94,0
ood_composition,95,1
ood_composition,96,1
ood_composition,97,1
ood_composition,98,0
ood_composition,99,1
ood_composition,100,1
ood_composition,101,1
ood_composition,102,0
ood_composition,103,0
ood_composition,104,1
ood_composition,105,1
ood_composition,106,1
ood_composition,107,1
ood_composition,108,0
ood_composition,109,1
ood_composition,110,0
ood_composition,111,0
ood_composition,112,1
ood_composition,113,1
ood_composition,114,1
ood_composition,115,1
ood_composition,116,1
ood_composition,117,0
ood_composition,118,0
ood_composition,119,1
ood_composition,120,0
ood_composition,121,1
ood_composition,122,1
ood_composition,123,0
ood_composition,124,0
ood_composition,125,1
ood_composition,126,0
ood_composition,127,0
ood_composition,128,1
ood_composition,129,1
ood_composition,130,0
ood_composition,131,0
ood_composition,132,1
ood_composition,133,1
ood_composition,134,0
ood_composition,135,1
ood_composition,136,0
ood_composition,137,0
ood_composition,138,1
ood_composition,139,0
ood_composition,140,0
ood_composition,141,0
ood_composition,142,1
ood_composition,143,0
ood_composition,144,0
ood_composition,145,0
ood_composition,146,1
ood_composition,147,0
ood_composition,148,1
ood_composition,149,1
ood_composition,150,1
ood_composition,151,0
ood_composition,152,0
ood_composition,153,1
ood_composition,154,1
ood_composition,155,1
ood_composition,156,1
ood_composition,157,1
ood_composition,158,1
ood_composition,159,1
ood_composition,160,1
ood_composition,161,0
ood_composition,162,1
ood_composition,163,1
ood_composition,164,0
ood_composition,165,0
ood_composition,166,0
ood_composition,167,1
ood_composition,168,0
ood_composition,169,1
ood_composition,170,1
ood_composition,171,1
ood_composition,172,0
ood_composition,173,1
ood_composition,174,1
ood_composition,175,1
ood_composition,176,0
ood_composition,177,1
ood_composition,178,0
ood_composition,179,0
