epoch,train_loss,gradient_norm,val_accuracy,val_balanced_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,val_brier,val_ece_10,val_nll,val_roc_auc
1,0.6993803381919861,0.3333302128385341,0.5,0.5131964809384164,0.40116959064327484,0.5457627118644068,0.5131964809384164,0.5004155736889467,0.014551903019182744,0.69356216902442,0.5410557184750734
2,0.6978911757469177,0.17648075403371014,0.46875,0.4828934506353861,0.34299516908212563,0.40437158469945356,0.4828934506353861,0.5004040787913198,0.043620410705040524,0.6935508446092611,0.5405669599217986
3,0.6970548629760742,0.1808716378156507,0.484375,0.4995112414467253,0.33917396745932415,0.4920634920634921,0.4995112414467253,0.5021877869886786,0.027138018413845222,0.6953556981121629,0.5351906158357771
4,0.6955615282058716,0.16991828223244967,0.484375,0.5,0.3263157894736842,0.2421875,0.5,0.5017002553220398,0.02551716264946302,0.6948483057126011,0.4599217986314761
5,0.694039523601532,0.19840435987714536,0.484375,0.5,0.3263157894736842,0.2421875,0.5,0.5023826729533194,0.024463760269372692,0.6955308311680806,0.4313294232649072
6,0.6929460763931274,0.138031169412238,0.453125,0.4574780058651027,0.4444444444444444,0.45387062566277836,0.4574780058651027,0.5026877911516887,0.05620800728316211,0.6958360518836442,0.4464809384164223
7,0.691846489906311,0.12044140364319349,0.4375,0.4389051808406647,0.436950146627566,0.43842364532019706,0.4389051808406647,0.5038304179481878,0.07481059600888673,0.6969792657187553,0.44012707722385147
8,0.6901564598083496,0.9999995103373279,0.4453125,0.44696969696969696,0.4444648205880555,0.44638003459352604,0.44696969696969696,0.5044454328154584,0.07024321187261173,0.6975949529533166,0.4435483870967742
9,0.6893527507781982,0.12822418006936653,0.453125,0.4550342130987292,0.45192072424761437,0.45436507936507936,0.4550342130987292,0.5046410989724428,0.06601823493508052,0.6977906193574994,0.45039100684261973
10,0.6884042620658875,0.12212170712470037,0.453125,0.4550342130987292,0.45192072424761437,0.45436507936507936,0.4550342130987292,0.5056049665623086,0.06921435415651633,0.6987568224728194,0.45051319648093846
11,0.6872633099555969,0.309580425175315,0.453125,0.4550342130987292,0.45192072424761437,0.45436507936507936,0.4550342130987292,0.5063798341103969,0.07249714694415132,0.6995335986905058,0.45039100684261973
12,0.6874677538871765,0.09622234658961287,0.4453125,0.44696969696969696,0.4444648205880555,0.44638003459352604,0.44696969696969696,0.5082216470750418,0.08344747950740783,0.7013794955618344,0.4393939393939394
13,0.6868571043014526,0.08579882643838295,0.4453125,0.44696969696969696,0.4444648205880555,0.44638003459352604,0.44696969696969696,0.509244740401962,0.08659884949914043,0.7024067011641932,0.43695014662756604
14,0.6862656474113464,0.07929064782172683,0.4453125,0.44696969696969696,0.4444648205880555,0.44638003459352604,0.44696969696969696,0.5102543655709755,0.08965851616542564,0.7034213184207094,0.4367057673509287
15,0.6857243776321411,0.07306237921146036,0.4453125,0.44696969696969696,0.4444648205880555,0.44638003459352604,0.44696969696969696,0.5112599331821597,0.09262746103151243,0.7044328315991515,0.4367057673509287
16,0.6852364540100098,0.06707054321533754,0.4453125,0.44696969696969696,0.4444648205880555,0.44638003459352604,0.44696969696969696,0.5122551772419071,0.09550063858058189,0.7054349548145848,0.43670576735092864
17,0.6848005652427673,0.06138157195571995,0.4453125,0.44696969696969696,0.4444648205880555,0.44638003459352604,0.44696969696969696,0.5132312276103084,0.09827270382223552,0.7064187215923912,0.4367057673509287
18,0.6844131946563721,0.05616803506632486,0.4453125,0.44696969696969696,0.4444648205880555,0.44638003459352604,0.44696969696969696,0.514177796329121,0.10093791001320929,0.7073736686975309,0.437683284457478
19,0.6840685606002808,0.05213990651455592,0.4453125,0.44696969696969696,0.4444648205880555,0.44638003459352604,0.44696969696969696,0.5150813311357826,0.1034880376347852,0.7082860063641873,0.4384164222873901
20,0.6837520003318787,0.055210581763054004,0.4453125,0.44696969696969696,0.4444648205880555,0.44638003459352604,0.44696969696969696,0.5158947933401996,0.10589712684328045,0.7091083268288836,0.4395161290322581
21,0.683268666267395,0.4123044949669547,0.4609375,0.46212121212121215,0.46064122137404584,0.46192581675264066,0.46212121212121215,0.5134067267391178,0.09928278997113417,0.7066134312448857,0.45356793743890517
