seed,topology,split,sample_count,train_index_sha256,validation_index_sha256,evaluation_index_sha256,qfc_balanced_accuracy,generic_balanced_accuracy,learned_balanced_accuracy,qfc_minus_generic,qfc_minus_learned,learned_minus_generic,qfc_C,generic_kernel,generic_C,learned_source,learned_kernel,learned_C,kernel_balanced_accuracy,qfc_minus_tensor_train
11,qfc_all_to_all,test,128,aaec90a46610d90bfabab11cf6633ee104837d370abd76a62ff71239a79f801a,d0f687e1b7d879d1152cb769303bb19024d67fbf0a0bb90fa460463ce1f98335,43252ae8a3c832f1622ac11d6376431adbe596b98bb9741c6569ba9fe17e7317,0.7123655913978495,0.570136852394917,0.8511730205278593,0.1422287390029325,-0.1388074291300097,0.2810361681329423,10.0,rbf_gamma_x2,10.0,mlp_hidden,linear,1.0,0.4960899315738025,0.216275659824047
11,qfc_all_to_all,ood_composition,128,aaec90a46610d90bfabab11cf6633ee104837d370abd76a62ff71239a79f801a,d0f687e1b7d879d1152cb769303bb19024d67fbf0a0bb90fa460463ce1f98335,c32a83a37e7f85fd565c624de22cae4baf16b14003e6be1db8dc03fe8f3e647a,0.5943833943833944,0.5164835164835164,0.6494505494505495,0.0778998778998779,-0.055067155067155,0.132967032967033,10.0,rbf_gamma_x2,10.0,mlp_hidden,linear,1.0,0.5061050061050061,0.0882783882783883
11,qfc_all_to_all,ood_depth,128,aaec90a46610d90bfabab11cf6633ee104837d370abd76a62ff71239a79f801a,d0f687e1b7d879d1152cb769303bb19024d67fbf0a0bb90fa460463ce1f98335,6e6962bc1363a0580f8b27ea4af9757be193afd2034121b461c4fb6ba22d2435,0.795045045045045,0.6276276276276276,0.8213213213213213,0.1674174174174174,-0.0262762762762762,0.1936936936936937,10.0,rbf_gamma_x2,10.0,mlp_hidden,linear,1.0,0.5515515515515516,0.24349349349349347
11,qfc_random_01,test,128,aaec90a46610d90bfabab11cf6633ee104837d370abd76a62ff71239a79f801a,d0f687e1b7d879d1152cb769303bb19024d67fbf0a0bb90fa460463ce1f98335,43252ae8a3c832f1622ac11d6376431adbe596b98bb9741c6569ba9fe17e7317,0.7108993157380255,0.570136852394917,0.8511730205278593,0.1407624633431085,-0.1402737047898338,0.2810361681329423,10.0,rbf_gamma_x2,10.0,mlp_hidden,linear,1.0,0.4960899315738025,0.21480938416422296
11,qfc_random_01,ood_composition,128,aaec90a46610d90bfabab11cf6633ee104837d370abd76a62ff71239a79f801a,d0f687e1b7d879d1152cb769303bb19024d67fbf0a0bb90fa460463ce1f98335,c32a83a37e7f85fd565c624de22cae4baf16b14003e6be1db8dc03fe8f3e647a,0.6797313797313798,0.5164835164835164,0.6494505494505495,0.1632478632478633,0.0302808302808302,0.132967032967033,10.0,rbf_gamma_x2,10.0,mlp_hidden,linear,1.0,0.5061050061050061,0.17362637362637368
11,qfc_random_01,ood_depth,128,aaec90a46610d90bfabab11cf6633ee104837d370abd76a62ff71239a79f801a,d0f687e1b7d879d1152cb769303bb19024d67fbf0a0bb90fa460463ce1f98335,6e6962bc1363a0580f8b27ea4af9757be193afd2034121b461c4fb6ba22d2435,0.7910410410410411,0.6276276276276276,0.8213213213213213,0.1634134134134135,-0.0302802802802801,0.1936936936936937,10.0,rbf_gamma_x2,10.0,mlp_hidden,linear,1.0,0.5515515515515516,0.23948948948948956
23,qfc_all_to_all,test,128,0dea398b823c8270cfa4a25c723a2cb2617eb306f2e2f728a14ab80374c96781,f483a3f0628cb79146d75dfc7fb7f01e565ebdcb04396635cc2e2b05ccfb0e15,1da56211c16b657d21dee12a99ba51c7c5f7a1c560906aed3ec01a19d010005f,0.7891006842619745,0.5796676441837731,0.7436461388074291,0.2094330400782014,0.0454545454545454,0.163978494623656,1.0,laplacian_gamma_x2,100.0,mlp_hidden,rbf_gamma_x0.5,100.0,0.5080645161290323,0.2810361681329423
23,qfc_all_to_all,ood_composition,128,0dea398b823c8270cfa4a25c723a2cb2617eb306f2e2f728a14ab80374c96781,f483a3f0628cb79146d75dfc7fb7f01e565ebdcb04396635cc2e2b05ccfb0e15,6a06bea49a062b9317234c70c7fa9a5e21f887c34756d9edffc848ba3a766bc8,0.6407547169811321,0.5290566037735849,0.6368553459119497,0.1116981132075471,0.0038993710691823,0.1077987421383648,1.0,laplacian_gamma_x2,100.0,mlp_hidden,rbf_gamma_x0.5,100.0,0.540251572327044,0.10050314465408805
23,qfc_all_to_all,ood_depth,128,0dea398b823c8270cfa4a25c723a2cb2617eb306f2e2f728a14ab80374c96781,f483a3f0628cb79146d75dfc7fb7f01e565ebdcb04396635cc2e2b05ccfb0e15,febc15e648658dd30ab6d924f69c25479615855df74772834f6bfd714d6329a1,0.8501984126984128,0.6478174603174603,0.8382936507936507,0.2023809523809524,0.011904761904762,0.1904761904761903,1.0,laplacian_gamma_x2,100.0,mlp_hidden,rbf_gamma_x0.5,100.0,0.5446428571428572,0.3055555555555556
23,qfc_random_01,test,128,0dea398b823c8270cfa4a25c723a2cb2617eb306f2e2f728a14ab80374c96781,f483a3f0628cb79146d75dfc7fb7f01e565ebdcb04396635cc2e2b05ccfb0e15,1da56211c16b657d21dee12a99ba51c7c5f7a1c560906aed3ec01a19d010005f,0.7754154447702835,0.5796676441837731,0.7436461388074291,0.1957478005865103,0.0317693059628543,0.163978494623656,1.0,laplacian_gamma_x2,100.0,mlp_hidden,rbf_gamma_x0.5,100.0,0.5080645161290323,0.2673509286412512
23,qfc_random_01,ood_composition,128,0dea398b823c8270cfa4a25c723a2cb2617eb306f2e2f728a14ab80374c96781,f483a3f0628cb79146d75dfc7fb7f01e565ebdcb04396635cc2e2b05ccfb0e15,6a06bea49a062b9317234c70c7fa9a5e21f887c34756d9edffc848ba3a766bc8,0.6062893081761006,0.5290566037735849,0.6368553459119497,0.0772327044025157,-0.030566037735849,0.1077987421383648,1.0,laplacian_gamma_x2,100.0,mlp_hidden,rbf_gamma_x0.5,100.0,0.540251572327044,0.06603773584905659
23,qfc_random_01,ood_depth,128,0dea398b823c8270cfa4a25c723a2cb2617eb306f2e2f728a14ab80374c96781,f483a3f0628cb79146d75dfc7fb7f01e565ebdcb04396635cc2e2b05ccfb0e15,febc15e648658dd30ab6d924f69c25479615855df74772834f6bfd714d6329a1,0.7817460317460317,0.6478174603174603,0.8382936507936507,0.1339285714285714,-0.0565476190476189,0.1904761904761903,1.0,laplacian_gamma_x2,100.0,mlp_hidden,rbf_gamma_x0.5,100.0,0.5446428571428572,0.23710317460317454
37,qfc_all_to_all,test,128,f1d42002f413226bc306dc958898d74182fabd4b18f374cfc961e59604c0b9eb,4a47f768ed5538d5c8446d5af84f72bdea47f2dadad0031850c07d1a40288613,a2d6f92d5867af4f74b5640874331ca74edb1d6219d04d8f54a6b93620867b82,0.7871530336526652,0.7122328666175386,0.7920658314910342,0.0749201670351266,-0.0049127978383689,0.0798329648734955,1.0,rbf_gamma_x2,10.0,mlp_hidden,rbf_gamma_x0.5,1.0,0.4727339719970523,0.3144190616556129
37,qfc_all_to_all,ood_composition,128,f1d42002f413226bc306dc958898d74182fabd4b18f374cfc961e59604c0b9eb,4a47f768ed5538d5c8446d5af84f72bdea47f2dadad0031850c07d1a40288613,603047a5768a2cad16502eaa9b8d60f6054fdafaf310d5e8423be65f36c08425,0.5968741927150607,0.3749677086024283,0.5754327047274606,0.2219064841126323,0.0214414879876001,0.2004649961250322,1.0,rbf_gamma_x2,10.0,mlp_hidden,rbf_gamma_x0.5,1.0,0.5082665977783518,0.08860759493670889
37,qfc_all_to_all,ood_depth,128,f1d42002f413226bc306dc958898d74182fabd4b18f374cfc961e59604c0b9eb,4a47f768ed5538d5c8446d5af84f72bdea47f2dadad0031850c07d1a40288613,663eef8d256eb5184cc372790f3b2e28ce963238dc884b917bbdcd06135a85f6,0.7824175824175824,0.7008547008547008,0.7978021978021979,0.0815628815628816,-0.0153846153846154,0.096947496947497,1.0,rbf_gamma_x2,10.0,mlp_hidden,rbf_gamma_x0.5,1.0,0.5083028083028083,0.27411477411477414
