feature_set,model_name,train_sample_cap,eval_sample_cap,split,kernel_source,kernel_family,kernel_name,n,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,roc_auc_mean
latent_primitive_sequence,qfc_all_to_all,256,256,ood_composition,classical,laplacian,laplacian_gamma_x0.5,2,0.5,0.015713484026367686,0.4927425969092636,0.023861725209038356,0.4897127891342604,0.453511378340813
latent_primitive_sequence,qfc_all_to_all,256,256,ood_composition,classical,laplacian,laplacian_gamma_x1,1,0.5277777777777778,,0.5266353309831571,,0.5199397571459947,0.5127301214257737
latent_primitive_sequence,qfc_all_to_all,256,256,ood_composition,classical,laplacian,laplacian_gamma_x2,2,0.5666666666666667,0.02357022603955162,0.558312936397058,0.038066595365622215,0.5566824162581048,0.5764666516018822
latent_primitive_sequence,qfc_all_to_all,256,256,ood_composition,classical,laplacian,laplacian_gamma_x8,1,0.5333333333333333,,0.534263489319669,,0.5304931064464041,0.5271021113717742
latent_primitive_sequence,qfc_all_to_all,256,256,ood_composition,classical,rbf,rbf_gamma_x0.25,1,0.5944444444444444,,0.58375,,0.5836369973700053,0.6621249999999999
latent_primitive_sequence,qfc_all_to_all,256,256,ood_composition,classical,rbf,rbf_gamma_x0.5,1,0.4722222222222222,,0.4668831168831169,,0.46346208151611185,0.45545454545454545
latent_primitive_sequence,qfc_all_to_all,256,256,ood_composition,classical,rbf,rbf_gamma_x2,1,0.5333333333333333,,0.5385007649158593,,0.53125,0.5068842427332994
latent_primitive_sequence,qfc_all_to_all,256,256,ood_composition,classical,rbf,rbf_gamma_x8,1,0.42777777777777776,,0.4325,,0.4277601160529646,0.402375
latent_primitive_sequence,qfc_all_to_all,256,256,ood_composition,quantum_trained,qfc_state_overlap,quantum_trained,10,0.6283333333333333,0.058820715255850774,0.6247771623504744,0.06163076034644648,0.6216544113736161,0.673417784450163
latent_primitive_sequence,qfc_all_to_all,256,256,ood_composition,quantum_untrained,qfc_state_overlap,quantum_untrained,10,0.5072222222222222,0.05832892399560954,0.49724237300137986,0.052424314372688914,0.49423722866643927,0.5041805466167891
latent_primitive_sequence,qfc_all_to_all,256,256,ood_depth,classical,laplacian,laplacian_gamma_x0.5,2,0.7666666666666666,0.015713484026367786,0.7658554806209912,0.01391051428929363,0.7651418242491657,0.8059311688555704
latent_primitive_sequence,qfc_all_to_all,256,256,ood_depth,classical,laplacian,laplacian_gamma_x1,1,0.75,,0.7505247561427337,,0.7496213409168186,0.8013334979627115
latent_primitive_sequence,qfc_all_to_all,256,256,ood_depth,classical,laplacian,laplacian_gamma_x2,2,0.7166666666666667,0.007856742013183834,0.7171734353559353,0.0067030916688896195,0.7147066184649611,0.7912896790488622
latent_primitive_sequence,qfc_all_to_all,256,256,ood_depth,classical,laplacian,laplacian_gamma_x8,1,0.7722222222222223,,0.771002024291498,,0.7684415299174798,0.8255313765182185
latent_primitive_sequence,qfc_all_to_all,256,256,ood_depth,classical,rbf,rbf_gamma_x0.25,1,0.7611111111111111,,0.7611607142857142,,0.7605123920913395,0.8447420634920635
latent_primitive_sequence,qfc_all_to_all,256,256,ood_depth,classical,rbf,rbf_gamma_x0.5,1,0.7,,0.7033646709549728,,0.6994062345373577,0.7522266204849085
