run_dir,run_group,experiment_name,feature_set,model_name,seed,train_sample_cap,eval_sample_cap,kernel_source,kernel_family,kernel_name,C,train_sample_n,val_sample_n,split,eval_sample_n,selection_metric,selection_score,accuracy,balanced_accuracy,macro_f1,roc_auc
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,256,quantum_trained,qfc_state_overlap,quantum_trained,1.0,256,256,test,256,val_balanced_accuracy,0.7530717036493673,0.74609375,0.7454789833822092,0.7456240923335626,0.832905669599218
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,256,quantum_trained,qfc_state_overlap,quantum_trained,1.0,256,256,ood_composition,180,val_balanced_accuracy,0.7530717036493673,0.6666666666666666,0.6667489813557229,0.6666666666666666,0.7141622422521299
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,256,quantum_trained,qfc_state_overlap,quantum_trained,1.0,256,256,ood_depth,180,val_balanced_accuracy,0.7530717036493673,0.7611111111111111,0.7472165991902835,0.7505720086365247,0.7854251012145751
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,256,quantum_untrained,qfc_state_overlap,quantum_untrained,100.0,256,256,test,256,val_balanced_accuracy,0.5627483342502597,0.53515625,0.5345796676441837,0.5345810098540982,0.5472262952101663
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,256,quantum_untrained,qfc_state_overlap,quantum_untrained,100.0,256,256,ood_composition,180,val_balanced_accuracy,0.5627483342502597,0.5111111111111111,0.5116681071737252,0.5101434933201385,0.538955426595876
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,256,quantum_untrained,qfc_state_overlap,quantum_untrained,100.0,256,256,ood_depth,180,val_balanced_accuracy,0.5627483342502597,0.5277777777777778,0.5222672064777328,0.5212616164460715,0.5547823886639676
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,256,classical,laplacian,laplacian_gamma_x8,1.0,256,256,test,256,val_balanced_accuracy,0.7327465003973348,0.69140625,0.69024926686217,0.690343127497665,0.721224340175953
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,256,classical,laplacian,laplacian_gamma_x8,1.0,256,256,ood_composition,180,val_balanced_accuracy,0.7327465003973348,0.5333333333333333,0.534263489319669,0.5304931064464041,0.5271021113717742
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,256,classical,laplacian,laplacian_gamma_x8,1.0,256,256,ood_depth,180,val_balanced_accuracy,0.7327465003973348,0.7722222222222223,0.771002024291498,0.7684415299174798,0.8255313765182185
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,360,quantum_trained,qfc_state_overlap,quantum_trained,1.0,256,270,test,360,val_balanced_accuracy,0.7508241758241758,0.75,0.7496525096525096,0.7497219132369299,0.824030888030888
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,360,quantum_trained,qfc_state_overlap,quantum_trained,1.0,256,270,ood_composition,180,val_balanced_accuracy,0.7508241758241758,0.6666666666666666,0.6667489813557229,0.6666666666666666,0.7141622422521299
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,360,quantum_trained,qfc_state_overlap,quantum_trained,1.0,256,270,ood_depth,180,val_balanced_accuracy,0.7508241758241758,0.7611111111111111,0.7472165991902835,0.7505720086365247,0.7854251012145751
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,360,quantum_untrained,qfc_state_overlap,quantum_untrained,1.0,256,270,test,360,val_balanced_accuracy,0.5821428571428571,0.55,0.5476447876447876,0.5454545454545454,0.5513822393822393
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,360,quantum_untrained,qfc_state_overlap,quantum_untrained,1.0,256,270,ood_composition,180,val_balanced_accuracy,0.5821428571428571,0.4722222222222222,0.47135448820842085,0.46853146853146854,0.45314236325472285
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,360,quantum_untrained,qfc_state_overlap,quantum_untrained,1.0,256,270,ood_depth,180,val_balanced_accuracy,0.5821428571428571,0.5444444444444444,0.5455465587044535,0.541671842007204,0.5556680161943319
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,360,classical,laplacian,laplacian_gamma_x8,1.0,256,270,test,360,val_balanced_accuracy,0.7208791208791209,0.6972222222222222,0.695984555984556,0.6959812816201936,0.7237065637065637
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,360,classical,laplacian,laplacian_gamma_x8,1.0,256,270,ood_composition,180,val_balanced_accuracy,0.7208791208791209,0.5333333333333333,0.534263489319669,0.5304931064464041,0.5271021113717742
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,256,360,classical,laplacian,laplacian_gamma_x8,1.0,256,270,ood_depth,180,val_balanced_accuracy,0.7208791208791209,0.7722222222222223,0.771002024291498,0.7684415299174798,0.8255313765182185
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,810,256,quantum_trained,qfc_state_overlap,quantum_trained,1.0,810,256,test,256,val_balanced_accuracy,0.7846751023901216,0.76171875,0.7623411534701857,0.7617151140611886,0.8348607038123167
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,810,256,quantum_trained,qfc_state_overlap,quantum_trained,1.0,810,256,ood_composition,180,val_balanced_accuracy,0.7846751023901216,0.7166666666666667,0.7173107791085319,0.7159565580618212,0.7503395480923571
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,810,256,quantum_trained,qfc_state_overlap,quantum_trained,1.0,810,256,ood_depth,180,val_balanced_accuracy,0.7846751023901216,0.75,0.7411437246963564,0.7423582175005566,0.8084514170040487
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,810,256,quantum_untrained,qfc_state_overlap,quantum_untrained,100.0,810,256,test,256,val_balanced_accuracy,0.5956659942539275,0.5859375,0.58455522971652,0.5843137254901961,0.6071603128054741
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,810,256,quantum_untrained,qfc_state_overlap,quantum_untrained,100.0,810,256,ood_composition,180,val_balanced_accuracy,0.5956659942539275,0.55,0.5503765897024324,0.5496525096525097,0.5392023706630448
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,810,256,quantum_untrained,qfc_state_overlap,quantum_untrained,100.0,810,256,ood_depth,180,val_balanced_accuracy,0.5956659942539275,0.5444444444444444,0.5544028340080972,0.5442193675889329,0.5816042510121457
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,810,256,classical,rbf,rbf_gamma_x4,10.0,810,256,test,256,val_balanced_accuracy,0.8006296228375818,0.79296875,0.793377321603128,0.7929403146794451,0.8524560117302054
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,810,256,classical,rbf,rbf_gamma_x4,10.0,810,256,ood_composition,180,val_balanced_accuracy,0.8006296228375818,0.4722222222222222,0.4728361526114335,0.4708994708994709,0.4351154463514014
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,810,256,classical,rbf,rbf_gamma_x4,10.0,810,256,ood_depth,180,val_balanced_accuracy,0.8006296228375818,0.7722222222222223,0.7692307692307692,0.767741935483871,0.8218623481781376
20260523_195300_qnlpbench_r_stage6d_topology_latent_primitive_sequence_qfc_random_01_seed11,stage6d_topology,qnlpbench_r_stage6d_topology_latent_primitive_sequence,latent_primitive_sequence,qfc_random_01,11,810,360,quantum_trained,qfc_state_overlap,quantum_trained,1.0,810,270,test,360,val_balanced_accuracy,0.7884615384615385,0.7583333333333333,0.7593050193050193,0.7582867065406136,0.8244324324324324
