seed,topology,kernel,eigenvalue_rank,eigenvalue
11,qfc_all_to_all,frozen_trained_qfc,1,5.597765153226666
11,qfc_all_to_all,frozen_trained_qfc,2,4.863812756960038
11,qfc_all_to_all,frozen_trained_qfc,3,4.598383437035851
11,qfc_all_to_all,frozen_trained_qfc,4,4.032068031568382
11,qfc_all_to_all,frozen_trained_qfc,5,3.5571017842108317
11,qfc_all_to_all,frozen_trained_qfc,6,3.3033024795230412
11,qfc_all_to_all,frozen_trained_qfc,7,3.05615088384072
11,qfc_all_to_all,frozen_trained_qfc,8,2.8987958133138867
11,qfc_all_to_all,frozen_trained_qfc,9,2.593340713172597
11,qfc_all_to_all,frozen_trained_qfc,10,2.474744206840037
11,qfc_all_to_all,frozen_trained_qfc,11,2.165763805117001
11,qfc_all_to_all,frozen_trained_qfc,12,2.139564482682705
11,qfc_all_to_all,frozen_trained_qfc,13,2.088442332494257
11,qfc_all_to_all,frozen_trained_qfc,14,1.9685780949514158
11,qfc_all_to_all,frozen_trained_qfc,15,1.9418318542819357
11,qfc_all_to_all,frozen_trained_qfc,16,1.792234411209034
11,qfc_all_to_all,frozen_trained_qfc,17,1.7651857411567156
11,qfc_all_to_all,frozen_trained_qfc,18,1.719015367304327
11,qfc_all_to_all,frozen_trained_qfc,19,1.6769763479175999
11,qfc_all_to_all,frozen_trained_qfc,20,1.5728783217233573
11,qfc_all_to_all,frozen_trained_qfc,21,1.522419615735988
11,qfc_all_to_all,frozen_trained_qfc,22,1.4953966860939372
11,qfc_all_to_all,frozen_trained_qfc,23,1.4586908393773312
11,qfc_all_to_all,frozen_trained_qfc,24,1.3904132930106812
11,qfc_all_to_all,frozen_trained_qfc,25,1.3427242769081569
11,qfc_all_to_all,frozen_trained_qfc,26,1.2955101687750494
11,qfc_all_to_all,frozen_trained_qfc,27,1.2583916171102945
11,qfc_all_to_all,frozen_trained_qfc,28,1.2512851783997496
11,qfc_all_to_all,frozen_trained_qfc,29,1.2297856723568654
11,qfc_all_to_all,frozen_trained_qfc,30,1.185123942934619
11,qfc_all_to_all,frozen_trained_qfc,31,1.1346956507662227
11,qfc_all_to_all,frozen_trained_qfc,32,1.1065143166118359
11,qfc_all_to_all,frozen_trained_qfc,33,1.0847281712185024
11,qfc_all_to_all,frozen_trained_qfc,34,1.0623639439241384
11,qfc_all_to_all,frozen_trained_qfc,35,1.0088875808200708
11,qfc_all_to_all,frozen_trained_qfc,36,0.987424460203389
11,qfc_all_to_all,frozen_trained_qfc,37,0.9799953418225539
11,qfc_all_to_all,frozen_trained_qfc,38,0.974156784829838
11,qfc_all_to_all,frozen_trained_qfc,39,0.9302850132355717
11,qfc_all_to_all,frozen_trained_qfc,40,0.9256633119669172
11,qfc_all_to_all,frozen_trained_qfc,41,0.913325880506751
11,qfc_all_to_all,frozen_trained_qfc,42,0.8695459126918856
11,qfc_all_to_all,frozen_trained_qfc,43,0.8567978050445758
11,qfc_all_to_all,frozen_trained_qfc,44,0.8437177015281012
11,qfc_all_to_all,frozen_trained_qfc,45,0.8150165932857252
11,qfc_all_to_all,frozen_trained_qfc,46,0.8079860459382887
11,qfc_all_to_all,frozen_trained_qfc,47,0.778426260239126
11,qfc_all_to_all,frozen_trained_qfc,48,0.7782456089023708
11,qfc_all_to_all,frozen_trained_qfc,49,0.762254702997323
11,qfc_all_to_all,frozen_trained_qfc,50,0.7393392138429913
11,qfc_all_to_all,frozen_trained_qfc,51,0.7379809217300424
11,qfc_all_to_all,frozen_trained_qfc,52,0.7176886695133624
11,qfc_all_to_all,frozen_trained_qfc,53,0.7067996313352024
11,qfc_all_to_all,frozen_trained_qfc,54,0.6868941170205669
11,qfc_all_to_all,frozen_trained_qfc,55,0.6740282827805459
11,qfc_all_to_all,frozen_trained_qfc,56,0.6678562775991642
11,qfc_all_to_all,frozen_trained_qfc,57,0.6544591132537552
11,qfc_all_to_all,frozen_trained_qfc,58,0.6408749567574024
11,qfc_all_to_all,frozen_trained_qfc,59,0.616345300411797
11,qfc_all_to_all,frozen_trained_qfc,60,0.6033245325230795
11,qfc_all_to_all,frozen_trained_qfc,61,0.594581993183223
11,qfc_all_to_all,frozen_trained_qfc,62,0.5831285927389365
11,qfc_all_to_all,frozen_trained_qfc,63,0.568848573164479
11,qfc_all_to_all,frozen_trained_qfc,64,0.5650114847283673
11,qfc_all_to_all,frozen_trained_qfc,65,0.5603132209680189
11,qfc_all_to_all,frozen_trained_qfc,66,0.5374726495291835
11,qfc_all_to_all,frozen_trained_qfc,67,0.5316569850556345
11,qfc_all_to_all,frozen_trained_qfc,68,0.5176273169031804
11,qfc_all_to_all,frozen_trained_qfc,69,0.5036662737643762
11,qfc_all_to_all,frozen_trained_qfc,70,0.5028228690838131
11,qfc_all_to_all,frozen_trained_qfc,71,0.4907166522661035
11,qfc_all_to_all,frozen_trained_qfc,72,0.4709006074467168
11,qfc_all_to_all,frozen_trained_qfc,73,0.45896003423332904
11,qfc_all_to_all,frozen_trained_qfc,74,0.4565313040284102
11,qfc_all_to_all,frozen_trained_qfc,75,0.4456075887242352
11,qfc_all_to_all,frozen_trained_qfc,76,0.44142350059800567
11,qfc_all_to_all,frozen_trained_qfc,77,0.440206025857534
11,qfc_all_to_all,frozen_trained_qfc,78,0.42778733578343847
11,qfc_all_to_all,frozen_trained_qfc,79,0.4105567469094507
11,qfc_all_to_all,frozen_trained_qfc,80,0.4095757002366378
11,qfc_all_to_all,frozen_trained_qfc,81,0.3971269441300341
11,qfc_all_to_all,frozen_trained_qfc,82,0.3894638611172502
11,qfc_all_to_all,frozen_trained_qfc,83,0.3813873353642891
11,qfc_all_to_all,frozen_trained_qfc,84,0.3657544127645667
11,qfc_all_to_all,frozen_trained_qfc,85,0.36135115119919164
11,qfc_all_to_all,frozen_trained_qfc,86,0.35561539607159726
11,qfc_all_to_all,frozen_trained_qfc,87,0.34822135289104794
11,qfc_all_to_all,frozen_trained_qfc,88,0.3374078708209988
11,qfc_all_to_all,frozen_trained_qfc,89,0.33244719966992664
11,qfc_all_to_all,frozen_trained_qfc,90,0.3226680729614966
