seed,topology,split,sample_count,train_index_sha256,validation_index_sha256,evaluation_index_sha256,qfc_balanced_accuracy,generic_balanced_accuracy,learned_balanced_accuracy,qfc_minus_generic,qfc_minus_learned,learned_minus_generic,qfc_C,generic_kernel,generic_C,learned_source,learned_kernel,learned_C
11,qfc_all_to_all,test,128,aaec90a46610d90bfabab11cf6633ee104837d370abd76a62ff71239a79f801a,d0f687e1b7d879d1152cb769303bb19024d67fbf0a0bb90fa460463ce1f98335,43252ae8a3c832f1622ac11d6376431adbe596b98bb9741c6569ba9fe17e7317,0.7123655913978495,0.570136852394917,0.8511730205278593,0.14222873900293254,-0.13880742913000976,0.2810361681329423,10.0,rbf_gamma_x2,10.0,mlp_hidden,linear,1.0
11,qfc_all_to_all,ood_composition,128,aaec90a46610d90bfabab11cf6633ee104837d370abd76a62ff71239a79f801a,d0f687e1b7d879d1152cb769303bb19024d67fbf0a0bb90fa460463ce1f98335,c32a83a37e7f85fd565c624de22cae4baf16b14003e6be1db8dc03fe8f3e647a,0.5943833943833944,0.5164835164835164,0.6494505494505495,0.07789987789987796,-0.055067155067155094,0.13296703296703305,10.0,rbf_gamma_x2,10.0,mlp_hidden,linear,1.0
11,qfc_all_to_all,ood_depth,128,aaec90a46610d90bfabab11cf6633ee104837d370abd76a62ff71239a79f801a,d0f687e1b7d879d1152cb769303bb19024d67fbf0a0bb90fa460463ce1f98335,6e6962bc1363a0580f8b27ea4af9757be193afd2034121b461c4fb6ba22d2435,0.795045045045045,0.6276276276276276,0.8213213213213213,0.16741741741741745,-0.026276276276276267,0.1936936936936937,10.0,rbf_gamma_x2,10.0,mlp_hidden,linear,1.0
11,qfc_random_01,test,128,aaec90a46610d90bfabab11cf6633ee104837d370abd76a62ff71239a79f801a,d0f687e1b7d879d1152cb769303bb19024d67fbf0a0bb90fa460463ce1f98335,43252ae8a3c832f1622ac11d6376431adbe596b98bb9741c6569ba9fe17e7317,0.7108993157380255,0.570136852394917,0.8511730205278593,0.1407624633431085,-0.1402737047898338,0.2810361681329423,10.0,rbf_gamma_x2,10.0,mlp_hidden,linear,1.0
11,qfc_random_01,ood_composition,128,aaec90a46610d90bfabab11cf6633ee104837d370abd76a62ff71239a79f801a,d0f687e1b7d879d1152cb769303bb19024d67fbf0a0bb90fa460463ce1f98335,c32a83a37e7f85fd565c624de22cae4baf16b14003e6be1db8dc03fe8f3e647a,0.6797313797313798,0.5164835164835164,0.6494505494505495,0.16324786324786333,0.030280830280830284,0.13296703296703305,10.0,rbf_gamma_x2,10.0,mlp_hidden,linear,1.0
11,qfc_random_01,ood_depth,128,aaec90a46610d90bfabab11cf6633ee104837d370abd76a62ff71239a79f801a,d0f687e1b7d879d1152cb769303bb19024d67fbf0a0bb90fa460463ce1f98335,6e6962bc1363a0580f8b27ea4af9757be193afd2034121b461c4fb6ba22d2435,0.7910410410410411,0.6276276276276276,0.8213213213213213,0.16341341341341353,-0.03028028028028018,0.1936936936936937,10.0,rbf_gamma_x2,10.0,mlp_hidden,linear,1.0
23,qfc_all_to_all,test,128,0dea398b823c8270cfa4a25c723a2cb2617eb306f2e2f728a14ab80374c96781,f483a3f0628cb79146d75dfc7fb7f01e565ebdcb04396635cc2e2b05ccfb0e15,1da56211c16b657d21dee12a99ba51c7c5f7a1c560906aed3ec01a19d010005f,0.7891006842619745,0.5796676441837731,0.7436461388074291,0.2094330400782014,0.045454545454545414,0.163978494623656,1.0,laplacian_gamma_x2,100.0,mlp_hidden,rbf_gamma_x0.5,100.0
23,qfc_all_to_all,ood_composition,128,0dea398b823c8270cfa4a25c723a2cb2617eb306f2e2f728a14ab80374c96781,f483a3f0628cb79146d75dfc7fb7f01e565ebdcb04396635cc2e2b05ccfb0e15,6a06bea49a062b9317234c70c7fa9a5e21f887c34756d9edffc848ba3a766bc8,0.6407547169811321,0.5290566037735849,0.6368553459119497,0.11169811320754719,0.003899371069182367,0.10779874213836482,1.0,laplacian_gamma_x2,100.0,mlp_hidden,rbf_gamma_x0.5,100.0
23,qfc_all_to_all,ood_depth,128,0dea398b823c8270cfa4a25c723a2cb2617eb306f2e2f728a14ab80374c96781,f483a3f0628cb79146d75dfc7fb7f01e565ebdcb04396635cc2e2b05ccfb0e15,febc15e648658dd30ab6d924f69c25479615855df74772834f6bfd714d6329a1,0.8501984126984128,0.6478174603174603,0.8382936507936507,0.20238095238095244,0.011904761904762085,0.19047619047619035,1.0,laplacian_gamma_x2,100.0,mlp_hidden,rbf_gamma_x0.5,100.0
23,qfc_random_01,test,128,0dea398b823c8270cfa4a25c723a2cb2617eb306f2e2f728a14ab80374c96781,f483a3f0628cb79146d75dfc7fb7f01e565ebdcb04396635cc2e2b05ccfb0e15,1da56211c16b657d21dee12a99ba51c7c5f7a1c560906aed3ec01a19d010005f,0.7754154447702835,0.5796676441837731,0.7436461388074291,0.1957478005865103,0.03176930596285432,0.163978494623656,1.0,laplacian_gamma_x2,100.0,mlp_hidden,rbf_gamma_x0.5,100.0
