topology,kernel,C,centered_kernel_target_alignment,effective_rank_entropy,stable_rank,dominant_eigenvalue_fraction,condition_number_positive_spectrum,positive_eigenvalue_count,within_class_similarity_mean,between_class_similarity_mean,within_minus_between_similarity,support_vector_fraction,signed_margin_mean,signed_margin_q05,signed_margin_q25,signed_margin_median,signed_margin_q75,signed_margin_q95
qfc_all_to_all,exact_initial_qfc,4.42,0.0643032877143668,78.99397100100138,5.556749930423181,0.05884120117057749,96.4059648458101,127.0,0.11907288546938517,0.1171799168716062,0.0018929685977789865,0.92265625,0.6941807048107828,0.15567045809096763,0.4130865190412642,0.8418618536226535,0.9796097678367378,1.1484675654360377
qfc_all_to_all,frozen_trained_qfc,4.6,0.21825302298841467,88.24300234567646,7.452009892884062,0.04617760218216364,78.01018422690859,127.0,0.09792963255270942,0.06202896267297038,0.03590066987973904,0.7375,1.0290250730078803,0.6496240393110763,0.9818551967892001,1.000062332658584,1.042352459211065,1.523505646088834
qfc_all_to_all,label_shuffled_qfc,1.72,0.0643658916238717,81.28928749335009,6.010090987376166,0.055342240354567376,76.18876149986755,127.0,0.1129077466018503,0.11147348950367224,0.0014342570981780572,0.9578125,0.5709378461190351,-0.18477485727448434,0.22015910439570346,0.7751045289153107,0.9775148058256224,1.0284788688019542
qfc_all_to_all,new_trained_qfc,4.6,0.21825302298841467,88.24300234567646,7.452009892884062,0.04617760218216364,78.01018422690859,127.0,0.09792963255270942,0.06202896267297038,0.03590066987973904,0.7375,1.0290250730078803,0.6496240393110763,0.9818551967892001,1.000062332658584,1.042352459211065,1.523505646088834
qfc_all_to_all,selected_learned_classical,11.53,0.7422163508794326,7.964586453307421,1.2859895029881698,0.4819391087383499,41682870238.68004,108.3,0.630948518056533,0.16118718686464187,0.46976133119189106,0.25546875,1.3194937763716108,0.6584838992390913,1.1042369171153805,1.3876929550907176,1.5660411623379815,1.8032703118344542
qfc_all_to_all,selected_tensor_train,24.04,0.5930672660572799,5.476831737792379,1.2109896686178652,0.7158573018559938,84198622835.0085,109.5,0.7628657435821997,0.4436916275445684,0.31917411603763124,0.440625,0.9270530639977224,-0.1286521311576098,0.7140407937959866,1.0877394352740273,1.191437907770332,1.3864445732961377
qfc_random_01,exact_initial_qfc,3.4299999999999997,0.06059548318272545,72.55568072941153,5.185596118329001,0.06498840904049182,158.83356934630405,127.0,0.11958320950745176,0.11759656132605438,0.0019866481813973933,0.94453125,0.5948953235547586,0.024550528580153563,0.3084432215257983,0.75529289946488,0.8843486899180343,1.0217780927168243
qfc_random_01,frozen_trained_qfc,3.7,0.2091212174494339,88.6227532659651,7.762664482909959,0.04514206908485195,69.26624521776348,127.0,0.08593976980968418,0.05162894860259267,0.034310821207091516,0.7671875,0.9996035127981961,0.6384981387783983,0.9598389409821753,1.0000056104686261,1.0115991384572394,1.3796056656737132
qfc_random_01,label_shuffled_qfc,21.43,0.05924798001028116,73.8988280974255,5.334689136575917,0.06349330704104501,125.49059167446549,127.0,0.1144016289873486,0.1130758684417433,0.0013257605456052936,0.940625,0.604699986523522,-0.05288972527857583,0.23156961903645482,0.8249984551773503,0.9657573480378232,1.1110347067242075
qfc_random_01,new_trained_qfc,3.7,0.2091212174494339,88.6227532659651,7.762664482909959,0.04514206908485195,69.26624521776348,127.0,0.08593976980968418,0.05162894860259267,0.034310821207091516,0.7671875,0.9996035127981961,0.6384981387783983,0.9598389409821753,1.0000056104686261,1.0115991384572394,1.3796056656737132
qfc_random_01,selected_learned_classical,11.53,0.7422163508794326,7.964586453307421,1.2859895029881698,0.4819391087383499,41682870238.68004,108.3,0.630948518056533,0.16118718686464187,0.46976133119189106,0.25546875,1.3194937763716108,0.6584838992390913,1.1042369171153805,1.3876929550907176,1.5660411623379815,1.8032703118344542
qfc_random_01,selected_tensor_train,24.04,0.5930672660572799,5.476831737792379,1.2109896686178652,0.7158573018559938,84198622835.0085,109.5,0.7628657435821997,0.4436916275445684,0.31917411603763124,0.440625,0.9270530639977224,-0.1286521311576098,0.7140407937959866,1.0877394352740273,1.191437907770332,1.3864445732961377
