seed,train_sample_cap,eval_sample_cap,split,model_name,kernel_source,kernel_family,kernel_name,C,selection_score,accuracy,balanced_accuracy,macro_f1
11,128,128,test,best_learned_classical,mlp_hidden,linear,linear,1.0,0.8597262952101662,0.8515625,0.8511730205278593,0.851335656213705
11,128,128,ood_composition,best_learned_classical,mlp_hidden,linear,linear,1.0,0.8597262952101662,0.6484375,0.6494505494505495,0.6473829201101928
11,128,128,ood_depth,best_learned_classical,mlp_hidden,linear,linear,1.0,0.8597262952101662,0.828125,0.8213213213213213,0.8228930817610063
11,128,128,test,qfc_all_to_all,qfc_trained,state_overlap,qfc_all_to_all,10.0,0.7971652003910068,0.7109375,0.7123655913978495,0.7107786259541984
11,128,128,ood_composition,qfc_all_to_all,qfc_trained,state_overlap,qfc_all_to_all,10.0,0.7971652003910068,0.59375,0.5943833943833944,0.5933528836754643
11,128,128,ood_depth,qfc_all_to_all,qfc_trained,state_overlap,qfc_all_to_all,10.0,0.7971652003910068,0.7890625,0.795045045045045,0.7874930824571112
11,128,128,test,qfc_all_to_all,qfc_untrained,state_overlap,qfc_all_to_all,10.0,0.553030303030303,0.5546875,0.5515640273704789,0.5484869113187697
11,128,128,ood_composition,qfc_all_to_all,qfc_untrained,state_overlap,qfc_all_to_all,10.0,0.553030303030303,0.5,0.5013431013431013,0.49692950135101943
11,128,128,ood_depth,qfc_all_to_all,qfc_untrained,state_overlap,qfc_all_to_all,10.0,0.553030303030303,0.4140625,0.41816816816816815,0.4131670640014671
11,128,128,test,qfc_random_01,qfc_trained,state_overlap,qfc_random_01,10.0,0.7573313782991202,0.7109375,0.7108993157380255,0.7107786259541984
11,128,128,ood_composition,qfc_random_01,qfc_trained,state_overlap,qfc_random_01,10.0,0.7573313782991202,0.6796875,0.6797313797313798,0.6796679484831838
11,128,128,ood_depth,qfc_random_01,qfc_trained,state_overlap,qfc_random_01,10.0,0.7573313782991202,0.8046875,0.7910410410410411,0.7955924624720536
11,128,128,test,qfc_random_01,qfc_untrained,state_overlap,qfc_random_01,1.0,0.5994623655913978,0.5234375,0.5212609970674487,0.5198917788845846
11,128,128,ood_composition,qfc_random_01,qfc_untrained,state_overlap,qfc_random_01,1.0,0.5994623655913978,0.46875,0.46813186813186813,0.46758013212625393
11,128,128,ood_depth,qfc_random_01,qfc_untrained,state_overlap,qfc_random_01,1.0,0.5994623655913978,0.5390625,0.5262762762762763,0.5263124882393527
11,128,128,test,qfc_random_01_random_label,qfc_trained,state_overlap,qfc_random_01_random_label,0.1,0.5,0.515625,0.5,0.3402061855670103
11,128,128,ood_composition,qfc_random_01_random_label,qfc_trained,state_overlap,qfc_random_01_random_label,0.1,0.5,0.5078125,0.5,0.33678756476683935
11,128,128,ood_depth,qfc_random_01_random_label,qfc_trained,state_overlap,qfc_random_01_random_label,0.1,0.5,0.578125,0.5,0.36633663366336633
11,128,128,test,qfc_random_01_random_label,qfc_untrained,state_overlap,qfc_random_01_random_label,10.0,0.5838220918866079,0.53125,0.5273704789833822,0.5217932752179327
11,128,128,ood_composition,qfc_random_01_random_label,qfc_untrained,state_overlap,qfc_random_01_random_label,10.0,0.5838220918866079,0.4453125,0.44578754578754576,0.4450076335877863
11,128,128,ood_depth,qfc_random_01_random_label,qfc_untrained,state_overlap,qfc_random_01_random_label,10.0,0.5838220918866079,0.5078125,0.4942442442442442,0.4941980806623597
23,128,128,test,best_learned_classical,mlp_hidden,rbf,rbf_gamma_x0.5,100.0,0.7857843137254902,0.7421875,0.7436461388074291,0.7420458015267175
23,128,128,ood_composition,best_learned_classical,mlp_hidden,rbf,rbf_gamma_x0.5,100.0,0.7857843137254902,0.6328125,0.6368553459119497,0.6300805509438603
23,128,128,ood_depth,best_learned_classical,mlp_hidden,rbf,rbf_gamma_x0.5,100.0,0.7857843137254902,0.8359375,0.8382936507936507,0.8347168419110865
23,128,128,test,qfc_all_to_all,qfc_trained,state_overlap,qfc_all_to_all,1.0,0.8088235294117647,0.7890625,0.7891006842619745,0.7889465648854962
23,128,128,ood_composition,qfc_all_to_all,qfc_trained,state_overlap,qfc_all_to_all,1.0,0.8088235294117647,0.640625,0.6407547169811321,0.6362737830491723
