seed,train_sample_cap,eval_sample_cap,source,kernel_family,kernel_name,C,selected,val_balanced_accuracy,params_json
11,128,128,raw,linear,linear,0.1,False,0.5,{}
11,128,128,raw,linear,linear,1.0,False,0.46871945259042036,{}
11,128,128,raw,linear,linear,10.0,False,0.45356793743890517,{}
11,128,128,raw,linear,linear,100.0,False,0.4701857282502444,{}
11,128,128,raw,rbf,rbf_gamma_x0.5,0.1,False,0.5,"{""gamma"": 0.006815528258775989, ""gamma_multiplier"": 0.5}"
11,128,128,raw,rbf,rbf_gamma_x0.5,1.0,False,0.45259042033235586,"{""gamma"": 0.006815528258775989, ""gamma_multiplier"": 0.5}"
11,128,128,raw,rbf,rbf_gamma_x0.5,10.0,False,0.48533724340175954,"{""gamma"": 0.006815528258775989, ""gamma_multiplier"": 0.5}"
11,128,128,raw,rbf,rbf_gamma_x0.5,100.0,False,0.5,"{""gamma"": 0.006815528258775989, ""gamma_multiplier"": 0.5}"
11,128,128,raw,rbf,rbf_gamma_x1,0.1,False,0.5,"{""gamma"": 0.013631056517551978, ""gamma_multiplier"": 1.0}"
11,128,128,raw,rbf,rbf_gamma_x1,1.0,False,0.4995112414467253,"{""gamma"": 0.013631056517551978, ""gamma_multiplier"": 1.0}"
11,128,128,raw,rbf,rbf_gamma_x1,10.0,False,0.5080645161290323,"{""gamma"": 0.013631056517551978, ""gamma_multiplier"": 1.0}"
11,128,128,raw,rbf,rbf_gamma_x1,100.0,False,0.5075757575757576,"{""gamma"": 0.013631056517551978, ""gamma_multiplier"": 1.0}"
11,128,128,raw,rbf,rbf_gamma_x2,0.1,False,0.5,"{""gamma"": 0.027262113035103955, ""gamma_multiplier"": 2.0}"
11,128,128,raw,rbf,rbf_gamma_x2,1.0,False,0.5141739980449658,"{""gamma"": 0.027262113035103955, ""gamma_multiplier"": 2.0}"
11,128,128,raw,rbf,rbf_gamma_x2,10.0,False,0.5369012707722385,"{""gamma"": 0.027262113035103955, ""gamma_multiplier"": 2.0}"
11,128,128,raw,rbf,rbf_gamma_x2,100.0,False,0.5369012707722385,"{""gamma"": 0.027262113035103955, ""gamma_multiplier"": 2.0}"
11,128,128,raw,poly,poly_degree_2,0.1,False,0.5,"{""degree"": 2, ""gamma"": 0.02040816326530612}"
