seed,train_sample_cap,eval_sample_cap,split,sample_index
11,128,128,test,0
11,128,128,test,3
11,128,128,test,5
11,128,128,test,9
11,128,128,test,10
11,128,128,test,11
11,128,128,test,18
11,128,128,test,20
11,128,128,test,24
11,128,128,test,25
11,128,128,test,32
11,128,128,test,34
11,128,128,test,37
11,128,128,test,41
11,128,128,test,42
11,128,128,test,43
11,128,128,test,48
11,128,128,test,49
11,128,128,test,50
11,128,128,test,53
11,128,128,test,56
11,128,128,test,57
11,128,128,test,58
11,128,128,test,59
11,128,128,test,61
11,128,128,test,62
11,128,128,test,69
11,128,128,test,72
11,128,128,test,78
11,128,128,test,79
11,128,128,test,81
11,128,128,test,83
11,128,128,test,84
11,128,128,test,91
11,128,128,test,95
11,128,128,test,97
11,128,128,test,100
11,128,128,test,105
11,128,128,test,106
11,128,128,test,110
11,128,128,test,112
11,128,128,test,113
11,128,128,test,115
11,128,128,test,117
11,128,128,test,120
11,128,128,test,121
11,128,128,test,123
11,128,128,test,129
11,128,128,test,131
11,128,128,test,132
11,128,128,test,135
11,128,128,test,141
11,128,128,test,143
11,128,128,test,144
11,128,128,test,145
11,128,128,test,155
11,128,128,test,156
11,128,128,test,157
11,128,128,test,159
11,128,128,test,160
11,128,128,test,161
11,128,128,test,162
11,128,128,test,166
11,128,128,test,169
11,128,128,test,177
11,128,128,test,182
11,128,128,test,186
11,128,128,test,191
11,128,128,test,192
11,128,128,test,194
11,128,128,test,199
11,128,128,test,200
11,128,128,test,204
11,128,128,test,206
11,128,128,test,207
11,128,128,test,208
11,128,128,test,210
11,128,128,test,215
11,128,128,test,217
11,128,128,test,225
11,128,128,test,227
11,128,128,test,237
11,128,128,test,241
11,128,128,test,243
11,128,128,test,246
11,128,128,test,248
11,128,128,test,251
11,128,128,test,253
11,128,128,test,257
11,128,128,test,259
11,128,128,test,264
11,128,128,test,265
11,128,128,test,267
11,128,128,test,268
11,128,128,test,270
11,128,128,test,279
11,128,128,test,280
11,128,128,test,285
11,128,128,test,286
11,128,128,test,289
11,128,128,test,290
11,128,128,test,291
11,128,128,test,293
11,128,128,test,294
11,128,128,test,295
11,128,128,test,296
11,128,128,test,300
11,128,128,test,301
11,128,128,test,302
11,128,128,test,303
11,128,128,test,304
11,128,128,test,307
11,128,128,test,311
11,128,128,test,315
11,128,128,test,317
11,128,128,test,322
11,128,128,test,326
11,128,128,test,327
11,128,128,test,330
11,128,128,test,336
11,128,128,test,338
11,128,128,test,339
11,128,128,test,341
11,128,128,test,342
11,128,128,test,346
11,128,128,test,350
11,128,128,test,354
11,128,128,test,358
11,128,128,ood_composition,0
11,128,128,ood_composition,1
11,128,128,ood_composition,3
11,128,128,ood_composition,5
11,128,128,ood_composition,6
11,128,128,ood_composition,7
11,128,128,ood_composition,9
11,128,128,ood_composition,10
11,128,128,ood_composition,11
11,128,128,ood_composition,12
11,128,128,ood_composition,13
11,128,128,ood_composition,14
11,128,128,ood_composition,15
11,128,128,ood_composition,17
11,128,128,ood_composition,20
11,128,128,ood_composition,22
11,128,128,ood_composition,23
11,128,128,ood_composition,24
11,128,128,ood_composition,25
11,128,128,ood_composition,27
11,128,128,ood_composition,28
11,128,128,ood_composition,29
11,128,128,ood_composition,30
11,128,128,ood_composition,31
11,128,128,ood_composition,32
11,128,128,ood_composition,35
11,128,128,ood_composition,37
11,128,128,ood_composition,40
11,128,128,ood_composition,41
11,128,128,ood_composition,44
11,128,128,ood_composition,46
11,128,128,ood_composition,48
11,128,128,ood_composition,49
11,128,128,ood_composition,50
11,128,128,ood_composition,51
11,128,128,ood_composition,54
11,128,128,ood_composition,55
11,128,128,ood_composition,56
11,128,128,ood_composition,57
11,128,128,ood_composition,58
11,128,128,ood_composition,59
11,128,128,ood_composition,60
11,128,128,ood_composition,61
11,128,128,ood_composition,62
11,128,128,ood_composition,63
11,128,128,ood_composition,64
11,128,128,ood_composition,65
11,128,128,ood_composition,66
11,128,128,ood_composition,67
11,128,128,ood_composition,69
11,128,128,ood_composition,70
11,128,128,ood_composition,71
11,128,128,ood_composition,72
11,128,128,ood_composition,73
11,128,128,ood_composition,74
11,128,128,ood_composition,76
11,128,128,ood_composition,77
11,128,128,ood_composition,78
11,128,128,ood_composition,79
11,128,128,ood_composition,80
11,128,128,ood_composition,81
11,128,128,ood_composition,82
11,128,128,ood_composition,83
11,128,128,ood_composition,84
11,128,128,ood_composition,87
11,128,128,ood_composition,88
11,128,128,ood_composition,91
11,128,128,ood_composition,92
11,128,128,ood_composition,93
11,128,128,ood_composition,94
11,128,128,ood_composition,95
11,128,128,ood_composition,97
11,128,128,ood_composition,98
11,128,128,ood_composition,99
11,128,128,ood_composition,101
11,128,128,ood_composition,103
11,128,128,ood_composition,104
11,128,128,ood_composition,107
11,128,128,ood_composition,108
11,128,128,ood_composition,109
11,128,128,ood_composition,110
11,128,128,ood_composition,111
11,128,128,ood_composition,112
11,128,128,ood_composition,113
11,128,128,ood_composition,114
11,128,128,ood_composition,115
11,128,128,ood_composition,117
11,128,128,ood_composition,119
11,128,128,ood_composition,120
11,128,128,ood_composition,124
11,128,128,ood_composition,125
11,128,128,ood_composition,127
11,128,128,ood_composition,130
11,128,128,ood_composition,131
11,128,128,ood_composition,133
11,128,128,ood_composition,134
11,128,128,ood_composition,135
11,128,128,ood_composition,136
11,128,128,ood_composition,137
11,128,128,ood_composition,140
11,128,128,ood_composition,141
11,128,128,ood_composition,142
11,128,128,ood_composition,143
11,128,128,ood_composition,144
11,128,128,ood_composition,145
11,128,128,ood_composition,146
11,128,128,ood_composition,147
11,128,128,ood_composition,149
11,128,128,ood_composition,152
11,128,128,ood_composition,153
11,128,128,ood_composition,154
11,128,128,ood_composition,155
11,128,128,ood_composition,157
11,128,128,ood_composition,158
11,128,128,ood_composition,159
11,128,128,ood_composition,161
11,128,128,ood_composition,162
11,128,128,ood_composition,163
11,128,128,ood_composition,164
11,128,128,ood_composition,167
11,128,128,ood_composition,169
11,128,128,ood_composition,170
11,128,128,ood_composition,171
11,128,128,ood_composition,172
11,128,128,ood_composition,174
11,128,128,ood_composition,176
11,128,128,ood_composition,177
11,128,128,ood_composition,178
11,128,128,ood_depth,0
11,128,128,ood_depth,1
11,128,128,ood_depth,2
11,128,128,ood_depth,3
11,128,128,ood_depth,4
11,128,128,ood_depth,5
11,128,128,ood_depth,7
11,128,128,ood_depth,8
11,128,128,ood_depth,9
11,128,128,ood_depth,10
11,128,128,ood_depth,11
11,128,128,ood_depth,14
11,128,128,ood_depth,15
11,128,128,ood_depth,16
11,128,128,ood_depth,17
11,128,128,ood_depth,18
11,128,128,ood_depth,21
11,128,128,ood_depth,22
11,128,128,ood_depth,25
11,128,128,ood_depth,26
11,128,128,ood_depth,27
11,128,128,ood_depth,28
11,128,128,ood_depth,29
11,128,128,ood_depth,30
11,128,128,ood_depth,31
11,128,128,ood_depth,32
11,128,128,ood_depth,33
11,128,128,ood_depth,34
11,128,128,ood_depth,35
11,128,128,ood_depth,38
11,128,128,ood_depth,41
11,128,128,ood_depth,42
11,128,128,ood_depth,43
11,128,128,ood_depth,44
11,128,128,ood_depth,45
11,128,128,ood_depth,46
11,128,128,ood_depth,48
11,128,128,ood_depth,49
11,128,128,ood_depth,51
11,128,128,ood_depth,52
11,128,128,ood_depth,54
11,128,128,ood_depth,55
11,128,128,ood_depth,56
11,128,128,ood_depth,57
11,128,128,ood_depth,58
11,128,128,ood_depth,59
11,128,128,ood_depth,60
11,128,128,ood_depth,62
11,128,128,ood_depth,63
11,128,128,ood_depth,64
11,128,128,ood_depth,65
11,128,128,ood_depth,66
11,128,128,ood_depth,68
11,128,128,ood_depth,69
11,128,128,ood_depth,70
11,128,128,ood_depth,71
11,128,128,ood_depth,72
11,128,128,ood_depth,73
11,128,128,ood_depth,74
11,128,128,ood_depth,75
11,128,128,ood_depth,76
11,128,128,ood_depth,77
11,128,128,ood_depth,78
11,128,128,ood_depth,79
11,128,128,ood_depth,80
11,128,128,ood_depth,81
11,128,128,ood_depth,82
11,128,128,ood_depth,87
11,128,128,ood_depth,90
11,128,128,ood_depth,91
11,128,128,ood_depth,92
11,128,128,ood_depth,96
11,128,128,ood_depth,97
11,128,128,ood_depth,99
11,128,128,ood_depth,100
11,128,128,ood_depth,101
11,128,128,ood_depth,102
11,128,128,ood_depth,104
11,128,128,ood_depth,105
11,128,128,ood_depth,106
11,128,128,ood_depth,107
11,128,128,ood_depth,108
11,128,128,ood_depth,111
11,128,128,ood_depth,113
11,128,128,ood_depth,114
11,128,128,ood_depth,118
11,128,128,ood_depth,119
11,128,128,ood_depth,120
11,128,128,ood_depth,121
11,128,128,ood_depth,122
11,128,128,ood_depth,123
11,128,128,ood_depth,124
11,128,128,ood_depth,125
11,128,128,ood_depth,126
11,128,128,ood_depth,129
11,128,128,ood_depth,130
11,128,128,ood_depth,133
11,128,128,ood_depth,135
11,128,128,ood_depth,136
11,128,128,ood_depth,138
11,128,128,ood_depth,139
11,128,128,ood_depth,140
11,128,128,ood_depth,142
11,128,128,ood_depth,144
11,128,128,ood_depth,146
11,128,128,ood_depth,147
11,128,128,ood_depth,148
11,128,128,ood_depth,149
11,128,128,ood_depth,151
11,128,128,ood_depth,152
11,128,128,ood_depth,153
11,128,128,ood_depth,156
11,128,128,ood_depth,157
11,128,128,ood_depth,158
11,128,128,ood_depth,159
11,128,128,ood_depth,160
11,128,128,ood_depth,161
11,128,128,ood_depth,162
11,128,128,ood_depth,163
11,128,128,ood_depth,166
11,128,128,ood_depth,168
11,128,128,ood_depth,169
11,128,128,ood_depth,171
11,128,128,ood_depth,172
11,128,128,ood_depth,173
11,128,128,ood_depth,174
11,128,128,ood_depth,177
11,128,128,ood_depth,179
11,128,128,train,3
11,128,128,train,7
11,128,128,train,16
11,128,128,train,17
11,128,128,train,19
11,128,128,train,20
11,128,128,train,26
11,128,128,train,28
11,128,128,train,31
11,128,128,train,32
11,128,128,train,49
11,128,128,train,52
11,128,128,train,59
11,128,128,train,65
11,128,128,train,91
