seed,topology,split,exact_initial_balanced_accuracy,trained_balanced_accuracy,shuffled_label_balanced_accuracy,trained_minus_exact_initial,trained_minus_shuffled_label,initial_C,trained_C,shuffled_C,initial_validation_balanced_accuracy,trained_validation_balanced_accuracy,shuffled_validation_balanced_accuracy
11,qfc_all_to_all,test,0.5681818181818181,0.7123655913978495,0.5474095796676441,0.14418377321603137,0.16495601173020535,10.0,10.0,1.0,0.5241935483870968,0.7971652003910068,0.5725806451612903
11,qfc_all_to_all,ood_composition,0.5641025641025641,0.5943833943833944,0.6018315018315019,0.030280830280830284,-0.007448107448107533,10.0,10.0,1.0,0.5241935483870968,0.7971652003910068,0.5725806451612903
11,qfc_all_to_all,ood_depth,0.5523023023023024,0.795045045045045,0.5195195195195195,0.24274274274274266,0.27552552552552556,10.0,10.0,1.0,0.5241935483870968,0.7971652003910068,0.5725806451612903
11,qfc_random_01,test,0.6165689149560117,0.7108993157380255,0.5,0.09433040078201371,0.21089931573802545,10.0,10.0,0.1,0.5716031280547409,0.7573313782991202,0.5
11,qfc_random_01,ood_composition,0.4623931623931624,0.6797313797313798,0.5,0.21733821733821734,0.17973137973137976,10.0,10.0,0.1,0.5716031280547409,0.7573313782991202,0.5
11,qfc_random_01,ood_depth,0.5397897897897898,0.7910410410410411,0.5,0.25125125125125136,0.2910410410410411,10.0,10.0,0.1,0.5716031280547409,0.7573313782991202,0.5
23,qfc_all_to_all,test,0.46358748778103614,0.7891006842619745,0.5246823069403714,0.3255131964809384,0.2644183773216031,10.0,1.0,10.0,0.5828431372549019,0.8088235294117647,0.5700980392156862
23,qfc_all_to_all,ood_composition,0.5435220125786163,0.6407547169811321,0.5246540880503144,0.09723270440251575,0.11610062893081763,10.0,1.0,10.0,0.5828431372549019,0.8088235294117647,0.5700980392156862
23,qfc_all_to_all,ood_depth,0.5089285714285714,0.8501984126984128,0.4365079365079365,0.3412698412698414,0.4136904761904763,10.0,1.0,10.0,0.5828431372549019,0.8088235294117647,0.5700980392156862
23,qfc_random_01,test,0.5388563049853372,0.7754154447702835,0.532258064516129,0.23655913978494625,0.24315738025415445,1.0,1.0,1.0,0.5941176470588235,0.7598039215686274,0.5911764705882353
23,qfc_random_01,ood_composition,0.5335849056603774,0.6062893081761006,0.5108176100628931,0.07270440251572319,0.09547169811320755,1.0,1.0,1.0,0.5941176470588235,0.7598039215686274,0.5911764705882353
23,qfc_random_01,ood_depth,0.5148809523809524,0.7817460317460317,0.5496031746031746,0.2668650793650793,0.2321428571428571,1.0,1.0,1.0,0.5941176470588235,0.7598039215686274,0.5911764705882353
37,qfc_all_to_all,test,0.5514615573569148,0.7871530336526652,0.5212478506509457,0.23569147629575038,0.2659051830017195,10.0,1.0,1.0,0.5659407878639588,0.7807682896990458,0.5712013701981894
37,qfc_all_to_all,ood_composition,0.4231464737793852,0.5968741927150607,0.5353913717385688,0.1737277189356755,0.061482820976491936,10.0,1.0,1.0,0.5659407878639588,0.7807682896990458,0.5712013701981894
37,qfc_all_to_all,ood_depth,0.5601953601953602,0.7824175824175824,0.607081807081807,0.2222222222222222,0.17533577533577538,10.0,1.0,1.0,0.5659407878639588,0.7807682896990458,0.5712013701981894
37,qfc_random_01,test,0.5295996069761729,0.8064357651682633,0.5297224269221321,0.2768361581920904,0.2767133382461312,1.0,1.0,1.0,0.5458771715194519,0.750917543430389,0.6085148030340103
37,qfc_random_01,ood_composition,0.46887109274089384,0.6148282097649186,0.5315164040299665,0.14595711702402475,0.08331180573495212,1.0,1.0,1.0,0.5458771715194519,0.750917543430389,0.6085148030340103
37,qfc_random_01,ood_depth,0.4522588522588522,0.8206349206349206,0.5609279609279609,0.3683760683760684,0.2597069597069597,1.0,1.0,1.0,0.5458771715194519,0.750917543430389,0.6085148030340103
41,qfc_all_to_all,test,0.5405372405372405,0.6807081807081807,0.5586080586080586,0.14017094017094023,0.12210012210012211,1.0,10.0,1.0,0.5283479960899315,0.7942326490713587,0.5532746823069403
41,qfc_all_to_all,ood_composition,0.49227895392278953,0.5058530510585305,0.47210460772104607,0.013574097135740981,0.033748443337484446,1.0,10.0,1.0,0.5283479960899315,0.7942326490713587,0.5532746823069403
41,qfc_all_to_all,ood_depth,0.5321123321123321,0.7042735042735042,0.48791208791208796,0.1721611721611721,0.21636141636141626,1.0,10.0,1.0,0.5283479960899315,0.7942326490713587,0.5532746823069403
41,qfc_random_01,test,0.6010989010989011,0.7278388278388279,0.5621489621489622,0.12673992673992684,0.16568986568986577,10.0,10.0,100.0,0.5009775171065494,0.7790811339198436,0.5246823069403714
